part_id,part_number,part_name,part_category,part_subcategory,manufacturer,manufacturer_part_number,supplier,supplier_part_number,part_description,unit_of_measure,unit_cost,retail_price,markup_percent,stock_quantity,reorder_point,reorder_quantity,max_stock_level,min_stock_level,stock_status,warehouse_location,bin_location,last_restock_date,next_restock_date,lead_time_days,quantity_on_order,supplier_order_number,expected_delivery_date,total_quantity_used_ytd,total_quantity_used_last_month,average_monthly_usage,usage_trend,stockout_incidents_ytd,last_stockout_date,compatible_equipment_types,critical_part,seasonal_demand,weight_lbs,dimensions_inches,hazmat,hazmat_class,shelf_life_months,temperature_controlled,warranty_months,returnable,part_condition,quality_grade,inspection_required,last_inspection_date,certification_required,certifications,eco_friendly,recycled_content_percent,energy_star_rated,country_of_origin,tariff_code,import_duty_percent,substitute_part_ids,superseded_by_part_id,obsolete,discontinuation_date,total_value_in_stock,inventory_turnover_ratio,days_in_inventory,carrying_cost_annual,storage_cost_monthly,insurance_value,shrinkage_rate_percent,damage_rate_percent,work_orders_used_count,average_install_time_minutes,skill_level_required,tools_required,installation_notes,maintenance_interval_months,failure_rate_percent,mtbf_hours,warranty_claims_ytd,return_rate_percent,customer_rating,total_ratings,supplier_rating,supplier_lead_time_reliability,price_trend_3month,price_volatility,contract_pricing,volume_discount_available,bulk_order_minimum,image_url,datasheet_url,video_tutorial_url,last_price_update,next_price_review,created_date,updated_date,created_by,updated_by,notes
1,PRT-HVAC-001,Compressor 3-Ton,HVAC,Compressor,Copeland,CR38K6E-PFV-875,HVAC Supply Co,HSC-CP-3T-001,Scroll compressor for 3-ton AC unit,Each,845.50,1268.25,50,12,5,10,30,5,In Stock,Warehouse A,A-12-C,2024-01-05,2024-02-15,14,10,PO-2024-0123,2024-01-28,45,4,3.75,Stable,1,2023-11-15,Rooftop AC Unit|Split System,TRUE,FALSE,78.5,18x18x24,FALSE,,0,FALSE,12,TRUE,New,A,TRUE,2024-01-05,TRUE,UL Listed|AHRI Certified,FALSE,0,TRUE,USA,8414.80.16,0,2|3,,FALSE,,10146.00,3.75,97,812.00,45.20,12000,0.5,0.8,45,90,Advanced,Gauges|Vacuum Pump|Torque Wrench,Requires refrigerant certification. Vacuum system before installation.,12,2.1,8500,0,0.5,4.6,23,4.5,0.95,Stable,Low,TRUE,TRUE,5,https://images.parts.com/prt-hvac-001.jpg,https://docs.parts.com/prt-hvac-001.pdf,https://videos.parts.com/prt-hvac-001,2024-01-01,2024-04-01,2023-01-10,2024-01-05,SYSTEM,BUYER-001,High-demand part
2,PRT-HVAC-002,Air Filter 20x25x1 MERV 11,HVAC,Filter,Filtrete,MPR 1000,Filter Distributors,FD-20251-M11,Pleated air filter for HVAC systems,Each,8.75,17.50,100,450,100,500,1000,100,In Stock,Warehouse A,A-03-B,2024-01-10,2024-02-01,3,500,PO-2024-0134,2024-01-22,1842,168,153.5,Increasing,0,,Air Handler|Package Unit,FALSE,FALSE,0.8,20x25x1,FALSE,,0,FALSE,0,FALSE,New,B,FALSE,,FALSE,,TRUE,30,FALSE,USA,8421.39.80,0,,,FALSE,,3937.50,12.3,30,315.00,18.50,4500,1.2,2.5,247,5,Basic,None,Check airflow direction arrow,1,0.0,0,0,0.0,4.8,156,4.7,0.98,Decreasing,Low,TRUE,TRUE,100,https://images.parts.com/prt-hvac-002.jpg,https://docs.parts.com/prt-hvac-002.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-10,SYSTEM,BUYER-001,Stock up before peak season
3,PRT-ELEC-001,Circuit Breaker 20A Single Pole,Electrical,Breaker,Square D,QO120,Electrical Wholesale,EW-SQD-QO120,Plug-on circuit breaker 20 amp,Each,12.50,25.00,100,185,50,200,500,50,In Stock,Warehouse B,B-08-D,2024-01-08,2024-02-20,7,200,PO-2024-0128,2024-01-30,356,32,29.67,Stable,0,,Electrical Panel,FALSE,FALSE,0.45,1x3x2,FALSE,,0,FALSE,240,TRUE,New,A,TRUE,2024-01-08,TRUE,UL Listed,FALSE,0,FALSE,Mexico,8536.20.00,2.5,4,,FALSE,,2312.50,15.4,24,185.00,11.20,2500,0.3,0.5,89,15,Intermediate,Screwdriver|Voltage Tester,Turn off main power before installation,0,1.5,12000,0,0.3,4.7,78,4.6,0.96,Stable,Low,FALSE,TRUE,50,https://images.parts.com/prt-elec-001.jpg,https://docs.parts.com/prt-elec-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-08,SYSTEM,BUYER-002,Standard inventory item
4,PRT-ELEC-002,LED Bulb A19 60W Equivalent,Electrical,Lighting,Philips,479444,Lighting Supply,LS-PH-A19-60,9W LED bulb 800 lumens 2700K,Each,3.25,9.75,200,850,200,1000,2000,200,In Stock,Warehouse B,B-02-A,2024-01-12,2024-02-10,5,1000,PO-2024-0145,2024-02-05,2456,224,204.67,Increasing,1,2023-12-20,Lighting Fixture,FALSE,FALSE,0.15,2.4x2.4x4.3,FALSE,,0,FALSE,36,TRUE,New,B,FALSE,,TRUE,Energy Star,TRUE,0,TRUE,China,8539.50.00,3.7,5|6,,FALSE,,2762.50,22.5,16,221.00,14.80,3000,0.8,1.2,312,2,Basic,None,Verify wattage compatibility,0,0.5,25000,1,0.4,4.8,198,4.7,0.97,Decreasing,Medium,TRUE,TRUE,500,https://images.parts.com/prt-elec-002.jpg,https://docs.parts.com/prt-elec-002.pdf,,2023-12-15,2024-03-15,2023-01-10,2024-01-12,SYSTEM,BUYER-002,Popular energy-efficient option
5,PRT-PLB-001,PVC Pipe 3/4 inch 10ft,Plumbing,Pipe,Charlotte Pipe,PVC04007,Plumbing Depot,PD-PVC-075-10,Schedule 40 PVC pipe 10 foot length,Each,8.95,17.90,100,245,60,300,600,60,In Stock,Warehouse C,C-15-E,2024-01-07,2024-02-25,10,300,PO-2024-0131,2024-02-12,478,38,39.83,Stable,0,,Water Supply|Drain Line,FALSE,FALSE,3.2,120x0.75,FALSE,,0,FALSE,0,FALSE,New,B,FALSE,,TRUE,NSF 61|ASTM D1785,TRUE,25,FALSE,USA,3917.40.00,0,,,FALSE,,2192.75,5.8,63,175.00,11.50,2500,0.6,1.8,67,30,Intermediate,Saw|Primer|Cement,Prime and cement joints properly,0,0.8,0,0,0.2,4.5,45,4.6,0.94,Stable,Low,TRUE,TRUE,100,https://images.parts.com/prt-plb-001.jpg,https://docs.parts.com/prt-plb-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-07,SYSTEM,BUYER-003,Standard plumbing supply
6,PRT-PLB-002,Toilet Flapper Universal,Plumbing,Repair Parts,Fluidmaster,502,Plumbing Depot,PD-FM-502,Universal toilet flapper 2 inch,Each,5.50,13.75,150,320,80,400,800,80,In Stock,Warehouse C,C-04-B,2024-01-11,2024-02-15,5,400,PO-2024-0142,2024-02-01,645,58,53.75,Stable,0,,Toilet,FALSE,FALSE,0.12,4x3x1,FALSE,,0,FALSE,60,TRUE,New,B,FALSE,,FALSE,,FALSE,0,FALSE,USA,8481.80.90,0,7,,FALSE,,1760.00,9.2,40,141.00,9.20,1800,0.5,1.0,98,10,Basic,Pliers,Turn off water before replacement,0,2.5,5000,0,0.8,4.7,87,4.6,0.96,Stable,Low,FALSE,TRUE,100,https://images.parts.com/prt-plb-002.jpg,https://docs.parts.com/prt-plb-002.pdf,https://videos.parts.com/prt-plb-002,2024-01-01,2024-04-01,2023-01-10,2024-01-11,SYSTEM,BUYER-003,Common repair part
7,PRT-HVAC-003,Thermostat Digital Programmable,HVAC,Controls,Honeywell,RTH6580WF,HVAC Supply Co,HSC-HW-6580,WiFi programmable thermostat 7-day,Each,68.50,137.00,100,85,20,50,150,20,In Stock,Warehouse A,A-18-F,2024-01-06,2024-02-18,12,50,PO-2024-0125,2024-02-03,167,15,13.92,Stable,0,,HVAC System,FALSE,FALSE,0.8,4.5x3.5x1,FALSE,,0,FALSE,12,TRUE,New,A,FALSE,,TRUE,FCC|Energy Star,FALSE,0,FALSE,China,9032.10.00,5.5,8|9,,FALSE,,5822.50,2.4,152,466.00,28.50,7500,0.3,0.5,45,45,Intermediate,Screwdriver|Wire Stripper,Compatible with most 24V systems,0,1.2,10000,1,0.6,4.6,67,4.5,0.93,Stable,Medium,TRUE,TRUE,20,https://images.parts.com/prt-hvac-003.jpg,https://docs.parts.com/prt-hvac-003.pdf,https://videos.parts.com/prt-hvac-003,2024-01-01,2024-04-01,2023-01-10,2024-01-06,SYSTEM,BUYER-001,Smart home compatible
8,PRT-HVAC-004,Refrigerant R410A 25lb Cylinder,HVAC,Refrigerant,Chemours,R410A-25,HVAC Supply Co,HSC-R410A-25,R410A refrigerant 25 pound cylinder,Each,425.00,637.50,50,28,8,20,50,8,In Stock,Warehouse A,A-25-H,2024-01-04,2024-02-05,7,20,PO-2024-0119,2024-01-26,89,8,7.42,Increasing,2,2023-10-18,AC Unit|Heat Pump,TRUE,TRUE,28.5,9x9x12,TRUE,2.2,0,TRUE,0,FALSE,New,A,TRUE,2024-01-04,TRUE,EPA Certified,FALSE,0,FALSE,USA,3824.78.00,0,,,FALSE,,11900.00,3.2,114,952.00,58.50,15000,0.4,0.2,34,60,Advanced,Gauges|Recovery Machine|Scale,EPA 608 certification required,0,0.0,0,0,0.0,4.8,28,4.7,0.92,Increasing,High,TRUE,FALSE,1,https://images.parts.com/prt-hvac-004.jpg,https://docs.parts.com/prt-hvac-004.pdf,https://videos.parts.com/prt-hvac-004,2023-12-01,2024-03-01,2023-01-10,2024-01-04,SYSTEM,BUYER-001,Controlled substance - track usage
9,PRT-ELEC-003,Emergency Light LED Twin Head,Electrical,Emergency,Lithonia,EU2C M12,Electrical Wholesale,EW-LIT-EU2C,LED emergency light dual head 12V,Each,82.50,165.00,100,45,15,30,75,15,In Stock,Warehouse B,B-22-G,2024-01-09,2024-03-01,18,30,PO-2024-0135,2024-02-15,78,7,6.5,Stable,0,,Emergency System,FALSE,FALSE,5.2,15x8x6,FALSE,,0,FALSE,60,TRUE,New,A,TRUE,2024-01-09,TRUE,UL Listed|Energy Star,TRUE,0,TRUE,USA,8513.10.40,0,10,,FALSE,,3712.50,2.1,174,297.00,18.50,5000,0.2,0.3,23,60,Intermediate,Screwdriver|Drill|Wire Strippers,Test monthly per code requirements,3,0.5,15000,0,0.0,4.9,18,4.8,0.97,Stable,Low,FALSE,TRUE,10,https://images.parts.com/prt-elec-003.jpg,https://docs.parts.com/prt-elec-003.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-09,SYSTEM,BUYER-002,Code required equipment
10,PRT-FIRE-001,Smoke Detector Photoelectric,Fire Safety,Detection,Kidde,i12060,Safety Supply,SS-KID-i12060,Hardwired photoelectric smoke alarm,Each,18.75,37.50,100,165,40,200,400,40,In Stock,Warehouse D,D-08-C,2024-01-13,2024-02-22,12,200,PO-2024-0148,2024-02-08,312,28,26.0,Stable,0,,Fire Alarm System,TRUE,FALSE,0.85,5.6x5.6x2,FALSE,,0,FALSE,120,TRUE,New,A,TRUE,2024-01-13,TRUE,UL Listed|NFPA 72,FALSE,0,FALSE,USA,8531.10.00,0,11,,FALSE,,3093.75,10.1,36,247.00,16.20,4000,0.3,0.4,67,30,Intermediate,Screwdriver|Wire Strippers,Interconnect all alarms per code,12,1.8,10000,0,0.3,4.8,89,4.7,0.95,Stable,Low,FALSE,TRUE,50,https://images.parts.com/prt-fire-001.jpg,https://docs.parts.com/prt-fire-001.pdf,https://videos.parts.com/prt-fire-001,2024-01-01,2024-04-01,2023-01-10,2024-01-13,SYSTEM,BUYER-004,Life safety critical
11,PRT-DOOR-001,Door Closer Hydraulic Heavy Duty,Hardware,Door Control,Norton,8501,Hardware Supply,HS-NOR-8501,Hydraulic door closer commercial grade,Each,145.00,290.00,100,52,15,40,100,15,In Stock,Warehouse E,E-12-D,2024-01-14,2024-03-05,21,40,PO-2024-0152,2024-02-18,98,9,8.17,Stable,1,2023-11-28,Commercial Door,FALSE,FALSE,4.8,12x3x2,FALSE,,0,FALSE,120,TRUE,New,A,FALSE,,TRUE,ADA Compliant|ANSI A156.4,FALSE,0,FALSE,USA,8302.42.30,0,12,,FALSE,,7540.00,1.9,192,603.00,37.50,8000,0.4,0.6,28,45,Intermediate,Screwdriver|Hex Wrenches|Drill,Adjust closing speed and sweep,0,2.0,20000,0,0.5,4.7,34,4.6,0.94,Increasing,Low,TRUE,TRUE,10,https://images.parts.com/prt-door-001.jpg,https://docs.parts.com/prt-door-001.pdf,https://videos.parts.com/prt-door-001,2024-01-01,2024-04-01,2023-01-10,2024-01-14,SYSTEM,BUYER-005,Commercial grade only
12,PRT-PLB-003,Water Heater Element 4500W,Plumbing,Water Heater,Camco,02153,Plumbing Depot,PD-CAM-02153,Screw-in water heater element 240V,Each,24.50,49.00,100,78,20,80,200,20,In Stock,Warehouse C,C-19-F,2024-01-15,2024-02-28,15,80,PO-2024-0156,2024-02-12,156,14,13.0,Stable,0,,Water Heater,FALSE,FALSE,1.2,11x2x2,FALSE,,0,FALSE,12,TRUE,New,B,FALSE,,FALSE,,FALSE,0,FALSE,China,8516.80.40,8.5,13,,FALSE,,1911.00,6.5,56,153.00,10.80,2500,0.5,0.8,45,45,Intermediate,Element Wrench|Voltage Tester,Drain tank before replacement,0,3.2,8000,1,0.9,4.4,38,4.5,0.93,Stable,Low,FALSE,TRUE,20,https://images.parts.com/prt-plb-003.jpg,https://docs.parts.com/prt-plb-003.pdf,https://videos.parts.com/prt-plb-003,2024-01-01,2024-04-01,2023-01-10,2024-01-15,SYSTEM,BUYER-003,Common failure part
13,PRT-ELEC-004,GFCI Outlet 20A Tamper Resistant,Electrical,Outlets,Leviton,GFNT2-W,Electrical Wholesale,EW-LEV-GFNT2,20A GFCI receptacle with LED,Each,22.50,45.00,100,135,35,150,300,35,In Stock,Warehouse B,B-14-E,2024-01-16,2024-02-20,10,150,PO-2024-0159,2024-02-05,267,24,22.25,Stable,0,,Electrical Outlet,FALSE,FALSE,0.65,4.2x2.1x1.9,FALSE,,0,FALSE,60,TRUE,New,A,TRUE,2024-01-16,TRUE,UL Listed|NEC Compliant,FALSE,0,FALSE,USA,8536.69.40,0,14,,FALSE,,3037.50,8.8,41,243.00,15.80,3500,0.4,0.5,56,20,Intermediate,Screwdriver|Voltage Tester|Wire Strippers,Test monthly with test button,0,1.5,10000,0,0.4,4.7,67,4.6,0.96,Stable,Low,FALSE,TRUE,50,https://images.parts.com/prt-elec-004.jpg,https://docs.parts.com/prt-elec-004.pdf,https://videos.parts.com/prt-elec-004,2024-01-01,2024-04-01,2023-01-10,2024-01-16,SYSTEM,BUYER-002,Code required wet locations
14,PRT-HVAC-005,Condensate Pump 1/30 HP,HVAC,Accessories,Little Giant,VCMA-15ULS,HVAC Supply Co,HSC-LG-VCMA15,Automatic condensate removal pump,Each,89.50,179.00,100,42,12,30,80,12,In Stock,Warehouse A,A-28-J,2024-01-17,2024-03-10,22,30,PO-2024-0163,2024-02-25,89,8,7.42,Stable,1,2023-12-05,AC Unit|Furnace,FALSE,TRUE,4.5,6.5x6.5x6,FALSE,,0,FALSE,24,TRUE,New,A,FALSE,,FALSE,,FALSE,0,FALSE,USA,8413.70.20,0,15,,FALSE,,3759.00,2.4,152,301.00,19.50,4500,0.3,0.7,24,30,Intermediate,Screwdriver|Tubing Cutter,Check float switch operation,6,2.8,8000,0,0.5,4.6,28,4.5,0.94,Stable,Low,TRUE,TRUE,10,https://images.parts.com/prt-hvac-005.jpg,https://docs.parts.com/prt-hvac-005.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-17,SYSTEM,BUYER-001,Summer demand increases
15,PRT-SEC-001,Card Reader HID ProxCard II,Security,Access Control,HID,5355AGN00,Security Systems,SEC-HID-5355,125 kHz proximity card reader,Each,125.00,250.00,100,32,10,25,60,10,In Stock,Warehouse F,F-05-B,2024-01-18,2024-03-15,25,25,PO-2024-0167,2024-03-01,58,5,4.83,Stable,0,,Access Control System,FALSE,FALSE,0.75,4.5x2.8x0.6,FALSE,,0,FALSE,36,TRUE,New,A,TRUE,2024-01-18,FALSE,,FALSE,0,FALSE,Mexico,8543.70.96,2.5,16,,FALSE,,4000.00,1.9,192,320.00,20.80,5000,0.2,0.3,18,30,Advanced,Screwdriver|Network Cable Tools,Configure with access control panel,0,1.0,15000,0,0.2,4.8,23,4.7,0.96,Stable,Medium,TRUE,TRUE,5,https://images.parts.com/prt-sec-001.jpg,https://docs.parts.com/prt-sec-001.pdf,https://videos.parts.com/prt-sec-001,2024-01-01,2024-04-01,2023-01-10,2024-01-18,SYSTEM,BUYER-006,Proprietary system
16,PRT-ROOF-001,Roof Membrane TPO 10x100ft,Roofing,Membrane,GAF,EverGuard TPO,Roofing Supply,RS-GAF-TPO-60,60 mil TPO roofing membrane white,Roll,1250.00,2187.50,75,8,2,6,15,2,In Stock,Warehouse G,G-20-A,2024-01-19,2024-04-01,30,6,PO-2024-0171,2024-03-05,18,2,1.5,Stable,0,,Flat Roof,FALSE,TRUE,185.0,100x10x12,FALSE,,0,FALSE,240,FALSE,New,A,TRUE,2024-01-19,TRUE,ASTM D6878|Energy Star,TRUE,15,TRUE,USA,3921.19.00,0,17,,FALSE,,10000.00,1.4,261,800.00,52.00,12000,0.1,0.5,6,240,Advanced,Heat Welder|Seam Roller|Knife,Requires certified installer,0,0.8,25,0,0.0,5.0,4,4.8,0.95,Increasing,High,TRUE,TRUE,1,https://images.parts.com/prt-roof-001.jpg,https://docs.parts.com/prt-roof-001.pdf,https://videos.parts.com/prt-roof-001,2023-11-01,2024-02-01,2023-01-10,2024-01-19,SYSTEM,BUYER-007,Seasonal demand spring/summer
17,PRT-PAINT-001,Interior Paint Eggshell White 5gal,Painting,Paint,Sherwin Williams,A100-8001,Paint Supply,PS-SW-A100-5G,Premium interior latex paint,Gallon,145.00,290.00,100,28,8,20,50,8,In Stock,Warehouse H,H-10-D,2024-01-20,2024-03-20,28,20,PO-2024-0175,2024-02-28,67,6,5.58,Stable,0,,Interior Walls,FALSE,FALSE,50.0,13x13x15,FALSE,,24,FALSE,0,TRUE,New,A,FALSE,,TRUE,Low VOC|Greenguard Gold,TRUE,5,FALSE,USA,3209.10.00,0,18,,FALSE,,4060.00,1.6,228,325.00,21.00,3500,0.5,1.0,18,30,Basic,Brush|Roller|Tray,350-400 sqft coverage per gallon,0,0.0,0,0,0.0,4.6,23,4.5,0.93,Increasing,Medium,FALSE,TRUE,5,https://images.parts.com/prt-paint-001.jpg,https://docs.parts.com/prt-paint-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-20,SYSTEM,BUYER-008,Match existing colors
18,PRT-ELEV-001,Elevator Door Safety Edge,Elevator,Safety,Schindler,59370854,Elevator Parts Co,EPC-SCH-DSE,Infrared door edge safety device,Each,385.00,770.00,100,15,5,12,30,5,In Stock,Warehouse I,I-03-A,2024-01-21,2024-04-15,35,12,PO-2024-0179,2024-03-10,28,2,2.33,Stable,1,2023-09-15,Passenger Elevator,TRUE,FALSE,3.5,72x2x1.5,FALSE,,0,FALSE,60,TRUE,New,A,TRUE,2024-01-21,TRUE,ASME A17.1|UL Certified,FALSE,0,FALSE,Switzerland,8431.31.00,0,19,,FALSE,,5775.00,1.6,228,462.00,30.50,7500,0.2,0.3,8,90,Expert,Multimeter|Specialty Tools,OEM part - professional install only,0,0.5,20000,0,0.0,4.9,12,4.8,0.94,Stable,Low,FALSE,FALSE,1,https://images.parts.com/prt-elev-001.jpg,https://docs.parts.com/prt-elev-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-21,SYSTEM,BUYER-009,Critical safety device
19,PRT-LOCK-001,Commercial Lock Cylinder Mortise,Hardware,Locks,Schlage,L9050,Hardware Supply,HS-SCH-L9050,Mortise lock cylinder commercial,Each,68.50,137.00,100,48,15,40,100,15,In Stock,Warehouse E,E-18-F,2024-01-22,2024-03-18,24,40,PO-2024-0183,2024-02-28,92,8,7.67,Stable,0,,Commercial Door,FALSE,FALSE,0.85,2.5x1x1,FALSE,,0,FALSE,120,TRUE,New,A,FALSE,,TRUE,ANSI/BHMA A156.5,FALSE,0,FALSE,USA,8301.40.60,0,20,,FALSE,,3288.00,2.8,130,263.00,17.20,4500,0.3,0.4,24,20,Intermediate,Plug Follower|Pinning Kit,Rekey to match existing system,0,1.2,15000,0,0.3,4.7,34,4.6,0.95,Stable,Low,TRUE,TRUE,10,https://images.parts.com/prt-lock-001.jpg,https://docs.parts.com/prt-lock-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-22,SYSTEM,BUYER-005,Master key compatible
20,PRT-CARP-001,Door Hardware Kit Lever Commercial,Hardware,Door Hardware,Yale,5400LN,Hardware Supply,HS-YALE-5400,Commercial grade lever lockset,Each,185.00,370.00,100,35,10,30,75,10,In Stock,Warehouse E,E-24-H,2024-01-23,2024-03-25,28,30,PO-2024-0187,2024-03-08,78,7,6.5,Stable,0,,Interior Door,FALSE,FALSE,5.5,12x5x3,FALSE,,0,FALSE,36,TRUE,New,A,FALSE,,TRUE,ADA Compliant|ANSI A156.2,FALSE,0,FALSE,USA,8302.42.30,0,,,FALSE,,6475.00,1.9,192,518.00,34.00,6000,0.3,0.5,21,45,Intermediate,Screwdriver|Drill|Hole Saw,Verify door thickness compatibility,0,1.8,20000,0,0.4,4.6,28,4.5,0.94,Stable,Low,TRUE,TRUE,5,https://images.parts.com/prt-carp-001.jpg,https://docs.parts.com/prt-carp-001.pdf,https://videos.parts.com/prt-carp-001,2024-01-01,2024-04-01,2023-01-10,2024-01-23,SYSTEM,BUYER-005,Multiple finishes available

